,Member Name,Birth-Death,Position,Party,State,Election_year
505,"HOEVEN, John",1957- ,Senator,Republican,ND,2014.0
506,,,,,,
507,"INHOFE, James Mountain",1934- ,Senator,Republican,OK,2014.0
508,,,,,,
509,"ISAKSON, Johnny",1944- ,Senator,Republican,GA,2014.0
510,,,,,,
511,"JOHANNS, Mike",1950- ,Senator,Republican,NE,2014.0
512,,,,,,
513,"JOHNSON, Ron",1955- ,Senator,Republican,WI,2014.0
514,,,,,,
515,"JOHNSON, Timothy Peter (Tim)",1946- ,Senator,Democrat,SD,2014.0
516,,,,,,
517,"KAINE, Timothy Michael (Tim)",1958- ,Senator,Democrat,VA,2014.0
518,,,,,,
519,"KERRY, John Forbes",1943- ,Senator,Democrat,MA,2014.0
520,,,,,,
521,"KING, Angus Stanley, Jr.",1944- ,Senator,Independent,ME,2014.0
522,,,,,,
523,"KIRK, Mark Steven",1959- ,Senator,Republican,IL,2014.0
524,,,,,,
525,"KLOBUCHAR, Amy",1960- ,Senator,Democrat,MN,2014.0
526,,,,,,
527,"LANDRIEU, Mary L.",1955- ,Senator,Democrat,LA,2014.0
528,,,,,,
529,"LAUTENBERG, Frank Raleigh",1924-2013,Senator,Democrat,NJ,2014.0
530,,,,,,
531,"LEAHY, Patrick Joseph",1940- ,Senator,Democrat,VT,2014.0
532,,,,,,
533,"LEE, Mike",1971- ,Senator,Republican,UT,2014.0
534,,,,,,
535,"LEVIN, Carl",1934- ,Senator,Democrat,MI,2014.0
536,,,,,,
537,"MANCHIN, Joe, III",1947- ,Senator,Democrat,WV,2014.0
538,,,,,,
539,"MARKEY, Edward John",1946- ,Senator,Democrat,MA,2014.0
540,,,,,,
541,"McCAIN, John Sidney, III",1936-2018,Senator,Republican,AZ,2014.0
542,,,,,,
543,"McCASKILL, Claire",1953- ,Senator,Democrat,MO,2014.0
544,,,,,,
545,"McCONNELL, Addison Mitchell (Mitch)",1942- ,Senator,Republican,KY,2014.0
546,,,,,,
547,"MENENDEZ, Robert",1954- ,Senator,Democrat,NJ,2014.0
548,,,,,,
549,"MERKLEY, Jeff",1956- ,Senator,Democrat,OR,2014.0
550,,,,,,
551,"MIKULSKI, Barbara Ann",1936- ,Senator,Democrat,MD,2014.0
552,,,,,,
553,"MORAN, Jerry",1954- ,Senator,Republican,KS,2014.0
554,,,,,,
555,"MURKOWSKI, Lisa",1957- ,Senator,Republican,AK,2014.0
556,,,,,,
557,"MURPHY, Christopher",1973- ,Senator,Democrat,CT,2014.0
558,,,,,,
559,"MURRAY, Patty",1950- ,Senator,Democrat,WA,2014.0
560,,,,,,
561,"NELSON, Clarence William (Bill)",1942- ,Senator,Democrat,FL,2014.0
562,,,,,,
563,"PAUL, Rand",1963- ,Senator,Republican,KY,2014.0
564,,,,,,
565,"PORTMAN, Robert Jones (Rob)",1955- ,Senator,Republican,OH,2014.0
566,,,,,,
567,"PRYOR, Mark",1963- ,Senator,Democrat,AR,2014.0
568,,,,,,
569,"REED, John F. (Jack)",1949- ,Senator,Democrat,RI,2014.0
570,,,,,,
571,"REID, Harry",1939- ,Senator,Democrat,NV,2014.0
572,,,,,,
573,"RISCH, James",1943- ,Senator,Republican,ID,2014.0
574,,,,,,
575,"ROBERTS, Charles Patrick (Pat)",1936- ,Senator,Republican,KS,2014.0
