"GEO_ID","NAME","B29001_001E","B29001_001M","B29001_002E","B29001_002M","B29001_003E","B29001_003M","B29001_004E","B29001_004M","B29001_005E","B29001_005M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!18 to 29 years","Margin of Error!!Total!!18 to 29 years","Estimate!!Total!!30 to 44 years","Margin of Error!!Total!!30 to 44 years","Estimate!!Total!!45 to 64 years","Margin of Error!!Total!!45 to 64 years","Estimate!!Total!!65 years and over","Margin of Error!!Total!!65 years and over"
"5001600US4832","Congressional District 32 (116th Congress), Texas","505867","10389","120849","6678","127369","6325","166856","6423","90793","4526"
"5001600US4833","Congressional District 33 (116th Congress), Texas","360226","12748","107457","6889","87377","5258","109125","6178","56267","3777"
"5001600US4834","Congressional District 34 (116th Congress), Texas","424863","9876","111405","4604","105261","4867","121813","5272","86384","3627"
"5001600US4835","Congressional District 35 (116th Congress), Texas","532967","13421","152919","8500","153805","7302","151784","7008","74459","4640"
"5001600US4836","Congressional District 36 (116th Congress), Texas","519385","9934","111025","6807","124400","5324","176585","5324","107375","4018"
"5001600US4901","Congressional District 1 (116th Congress), Utah","521517","4200","138536","3081","148842","3211","151996","2641","82143","1782"
"5001600US4902","Congressional District 2 (116th Congress), Utah","529608","7295","137185","4747","146798","4834","143419","4253","102206","2897"
"5001600US4903","Congressional District 3 (116th Congress), Utah","517848","6002","166076","3653","129325","3401","139150","3762","83297","2862"
"5001600US4904","Congressional District 4 (116th Congress), Utah","518368","8401","125929","4858","171294","5579","144381","4845","76764","3088"
"5001600US5000","Congressional District (at Large) (116th Congress), Vermont","500274","2062","100387","1448","103384","1123","173821","1536","122682","1212"
"5001600US5101","Congressional District 1 (116th Congress), Virginia","590281","8602","115999","4622","141411","3902","210432","5155","122439","3428"
"5001600US5102","Congressional District 2 (116th Congress), Virginia","559397","6204","140647","3718","136454","3461","172710","3377","109586","2373"
"5001600US5103","Congressional District 3 (116th Congress), Virginia","559137","7090","144935","3740","140818","4196","174813","3735","98571","2873"
"5001600US5104","Congressional District 4 (116th Congress), Virginia","579606","9665","127615","3623","141627","5290","196356","5204","114008","3628"
"5001600US5105","Congressional District 5 (116th Congress), Virginia","578531","7084","109871","4113","121923","3450","197536","4117","149201","3172"
"5001600US5106","Congressional District 6 (116th Congress), Virginia","582756","4662","131680","2346","119755","3489","191356","2918","139965","2725"
"5001600US5107","Congressional District 7 (116th Congress), Virginia","588061","8567","108547","4489","142947","4698","210231","4541","126336","4214"
"5001600US5108","Congressional District 8 (116th Congress), Virginia","533417","10149","109243","4837","168603","4980","166271","4686","89300","3286"
"5001600US5109","Congressional District 9 (116th Congress), Virginia","567315","4437","119009","3046","111192","2676","191661","2823","145453","2071"
"5001600US5110","Congressional District 10 (116th Congress), Virginia","565197","8256","98594","4056","144436","4770","219463","4827","102704","3686"
"5001600US5111","Congressional District 11 (116th Congress), Virginia","509988","10817","108065","5311","133940","4763","181280","5524","86703","3940"
"5001600US5301","Congressional District 1 (116th Congress), Washington","519555","10068","89058","5945","139221","5304","193442","6951","97834","4511"
"5001600US5302","Congressional District 2 (116th Congress), Washington","558321","7945","127235","4756","132695","4595","177757","5016","120634","3717"
"5001600US5303","Congressional District 3 (116th Congress), Washington","544994","4118","98922","2228","130162","2256","188493","2690","127417","1879"
"5001600US5304","Congressional District 4 (116th Congress), Washington","443137","5909","101079","3061","104005","3276","139372","3324","98681","2454"
"5001600US5305","Congressional District 5 (116th Congress), Washington","551532","3876","128261","2045","125417","2369","173298","2008","124556","1495"
"5001600US5306","Congressional District 6 (116th Congress), Washington","570991","6932","105695","4163","133343","3756","185911","4109","146042","2457"
"5001600US5307","Congressional District 7 (116th Congress), Washington","600321","11081","143720","6334","177404","6568","169461","6228","109736","4978"
"5001600US5308","Congressional District 8 (116th Congress), Washington","522952","10928","90974","4378","129726","5420","201383","6157","100869","4525"
